year,time_hour,latitude,longitude,temp_drop_k,interface_temp_k,sea_ice_temp_k,rainfall,skin_temp_change_k
2018,0,-75.0,-180.0,0.392578125,271.3680725097656,253.8240203857422,0.0,-0.14062899351119995
2018,0,-75.0,-173.75,0.4873046875,271.3680725097656,252.5857391357422,0.0,-0.09082430601119995
2018,0,-75.0,-167.5,0.53515625,271.3680725097656,251.0461883544922,0.0,-0.08594149351119995
2018,0,-75.0,-161.25,0.6796875,271.3680725097656,248.2966766357422,0.0,-0.06152743101119995
2018,0,-75.0,-155.0,0.62109375,271.3993225097656,245.1482391357422,0.0,-0.08594149351119995
2018,0,-75.0,-148.75,0.5146484375,271.3993225097656,244.5466766357422,0.0,-0.14062899351119995
2018,0,-75.0,-142.5,0.423828125,271.3680725097656,249.3123016357422,0.0,-0.10937899351119995
2018,0,-75.0,-105.0,0.46875,271.3680725097656,244.7498016357422,0.0,-0.008793056011199951
2018,0,-75.0,-61.25,0.54296875,271.3680725097656,241.8669891357422,0.0,-0.15381258726119995
2018,0,-75.0,-55.0,0.35302734375,271.3368225097656,251.0408172607422,0.0,-0.09570711851119995
2018,0,-75.0,-42.5,0.24462890625,271.3368225097656,256.25762939453125,0.0,-0.09766024351119995
2018,0,-75.0,-30.0,0.152099609375,271.3368225097656,258.27325439453125,0.0,0.008785068988800049
2018,0,-75.0,-23.75,0.1572265625,271.3368225097656,257.40606689453125,0.0,0.10448819398880005
2018,0,-75.0,163.75,0.5009765625,271.3368225097656,237.3201141357422,0.0,-0.10644930601119995
2018,0,-75.0,170.0,0.5107421875,271.3680725097656,250.0417938232422,0.0,-0.16699618101119995
2018,0,-75.0,176.25,0.47802734375,271.3680725097656,252.3728485107422,0.0,-0.19873446226119995
2018,0,-70.0,-180.0,0.33984375,271.3680725097656,256.82012939453125,0.0,-0.09277743101119995
2018,0,-70.0,-173.75,0.28466796875,271.3680725097656,260.61700439453125,0.0,-0.06836336851119995
2018,0,-70.0,-167.5,0.25146484375,271.3680725097656,261.32012939453125,0.0,-0.05566805601119995
2018,0,-70.0,-161.25,0.34228515625,271.3993225097656,255.5232391357422,0.0,-0.05664461851119995
2018,0,-70.0,-155.0,0.4833984375,271.4305725097656,252.4880828857422,0.0,-0.10937899351119995
2018,0,-70.0,-142.5,0.51171875,271.3993225097656,253.5310516357422,0.0,-0.08301180601119995
2018,0,-70.0,-136.25,0.43505859375,271.3993225097656,252.9060516357422,0.0,-0.12793368101119995
2018,0,-70.0,-130.0,0.33154296875,271.3680725097656,254.2029266357422,0.0,-0.07226961851119995
2018,0,-70.0,-123.75,0.46630859375,271.3680725097656,247.9333953857422,0.0,-0.07031649351119995
2018,0,-70.0,-117.5,0.513671875,271.3680725097656,247.6326141357422,0.0,-0.14404696226119995
2018,0,-70.0,-111.25,0.41845703125,271.3680725097656,251.4714813232422,0.0,-0.07617586851119995
2018,0,-70.0,-105.0,0.40087890625,271.3993225097656,252.3982391357422,0.0,-0.07226961851119995
2018,0,-70.0,-98.75,0.421875,271.3993225097656,251.3513641357422,0.0,-0.11914461851119995
2018,0,-70.0,-92.5,0.4912109375,271.3680725097656,247.5232391357422,0.0,-0.11816805601119995
